# Created by auto-kappa in a format similar to ALAMODE
# Input file   : ./mp-22862/cube/kappa_fd_14x14x14/NaCl.result
# Isotope      : ./mp-22862/cube/kappa_fd_14x14x14/NaCl.self_isotope
# Temperature  : 500 K
# kpoint range : 1 104
# mode   range : 1 6
ik,is,frequency[cm^-1],lifetime[ps],|velocity|[m/s],MFP[nm],multiplicity,kxx,kxy,kxz,kyx,kyy,kyz,kzx,kzy,kzz
1,1,1.0973700e-10,0.0000000e+00,0.0000000e+00,0.0000000e+00,1,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
1,2,1.0973700e-10,0.0000000e+00,0.0000000e+00,0.0000000e+00,1,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
1,3,1.0973700e-10,0.0000000e+00,0.0000000e+00,0.0000000e+00,1,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
1,4,1.6798600e+02,1.5590941e+00,0.0000000e+00,0.0000000e+00,1,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
1,5,1.6798600e+02,1.8468878e+00,0.0000000e+00,0.0000000e+00,1,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
1,6,1.6798600e+02,1.8468878e+00,0.0000000e+00,0.0000000e+00,1,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
2,1,2.0263600e+01,4.3129360e+00,2.7189395e+03,1.1726612e+04,8,1.2163453e-03,1.0093714e-09,1.0093714e-09,1.0093714e-09,1.2163453e-03,1.0093714e-09,1.0093714e-09,1.0093714e-09,1.2163453e-03
2,2,2.0263600e+01,4.2077894e+00,2.7205936e+03,1.1447685e+04,8,1.1881359e-03,9.9166210e-10,9.9166210e-10,9.9166210e-10,1.1881359e-03,9.9166210e-10,9.9166210e-10,9.9166210e-10,1.1881359e-03
2,3,3.2571400e+01,2.2008125e+01,4.3828420e+03,9.6458133e+04,8,1.6120721e-02,6.2940375e-14,6.2941547e-14,6.2940375e-14,1.6120721e-02,6.2941547e-14,6.2941547e-14,6.2941547e-14,1.6120721e-02
2,4,1.6910900e+02,1.2940165e+00,2.6957567e+02,3.4883538e+02,8,3.5184871e-06,5.8390789e-12,5.8390789e-12,5.8390789e-12,3.5184871e-06,5.8390789e-12,5.8390789e-12,5.8390789e-12,3.5184871e-06
2,5,1.6910900e+02,1.2854575e+00,2.6980777e+02,3.4682642e+02,8,3.5012358e-06,5.8004574e-12,5.8004574e-12,5.8004574e-12,3.5012358e-06,5.8004574e-12,5.8004574e-12,5.8004574e-12,3.5012358e-06
