# Created by auto-kappa in a format similar to ALAMODE
# Input file   : ./mp-22862/cube/kappa_fd_17x17x17/NaCl.result
# Isotope      : ./mp-22862/cube/kappa_fd_17x17x17/NaCl.self_isotope
# Temperature  : 300 K
# kpoint range : 1 165
# mode   range : 1 6
ik,is,frequency[cm^-1],lifetime[ps],|velocity|[m/s],MFP[nm],multiplicity,kxx,kxy,kxz,kyx,kyy,kyz,kzx,kzy,kzz
1,1,1.0973700e-10,0.0000000e+00,0.0000000e+00,0.0000000e+00,1,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
1,2,1.0973700e-10,0.0000000e+00,0.0000000e+00,0.0000000e+00,1,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
1,3,1.0973700e-10,0.0000000e+00,0.0000000e+00,0.0000000e+00,1,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
1,4,1.6798600e+02,2.6591796e+00,0.0000000e+00,0.0000000e+00,1,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
1,5,1.6798600e+02,3.2115356e+00,0.0000000e+00,0.0000000e+00,1,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
1,6,1.6798600e+02,3.2115356e+00,0.0000000e+00,0.0000000e+00,1,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
2,1,1.6718200e+01,1.0887499e+01,2.7333159e+03,2.9758975e+04,8,1.7326880e-03,2.1797582e-09,2.1797582e-09,2.1797582e-09,1.7326880e-03,2.1797582e-09,2.1797582e-09,2.1797582e-09,1.7326880e-03
2,2,1.6718200e+01,9.9705897e+00,2.7353597e+03,2.7273149e+04,8,1.5891406e-03,2.0188056e-09,2.0188056e-09,2.0188056e-09,1.5891406e-03,2.0188056e-09,2.0188056e-09,2.0188056e-09,1.5891406e-03
2,3,2.6861300e+01,6.9096894e+01,4.4014529e+03,3.0412672e+05,8,2.8490177e-02,4.4118786e-13,4.4118786e-13,4.4118786e-13,2.8490177e-02,4.4118786e-13,4.4118786e-13,4.4118786e-13,2.8490177e-02
2,4,1.6877700e+02,2.3365598e+00,2.4031620e+02,5.6151317e+02,8,2.7239822e-06,7.2593116e-12,7.2593116e-12,7.2593116e-12,2.7239822e-06,7.2593116e-12,7.2593116e-12,7.2593116e-12,2.7239822e-06
2,5,1.6877700e+02,2.0074212e+00,2.4057774e+02,4.8294087e+02,8,2.3453662e-06,6.2919236e-12,6.2919236e-12,6.2919236e-12,2.3453662e-06,6.2919236e-12,6.2919236e-12,6.2919236e-12,2.3453662e-06
