# Created by auto-kappa in a format similar to ALAMODE
# Input file   : ./mp-22862/cube/kappa_fd_20x20x20/NaCl.result
# Isotope      : ./mp-22862/cube/kappa_fd_20x20x20/NaCl.self_isotope
# Temperature  : 500 K
# kpoint range : 1 256
# mode   range : 1 6
ik,is,frequency[cm^-1],lifetime[ps],|velocity|[m/s],MFP[nm],multiplicity,kxx,kxy,kxz,kyx,kyy,kyz,kzx,kzy,kzz
1,1,1.0973700e-10,0.0000000e+00,0.0000000e+00,0.0000000e+00,1,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
1,2,1.0973700e-10,0.0000000e+00,0.0000000e+00,0.0000000e+00,1,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
1,3,1.0973700e-10,0.0000000e+00,0.0000000e+00,0.0000000e+00,1,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
1,4,1.6798600e+02,1.5783201e+00,0.0000000e+00,0.0000000e+00,1,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
1,5,1.6798600e+02,1.8828418e+00,0.0000000e+00,0.0000000e+00,1,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
1,6,1.6798600e+02,1.8828418e+00,0.0000000e+00,0.0000000e+00,1,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
2,1,1.4225900e+01,8.8471763e+00,2.7418727e+03,2.4257831e+04,8,8.7044370e-04,1.5464363e-09,1.5464363e-09,1.5464363e-09,8.7044370e-04,1.5464363e-09,1.5464363e-09,1.5464363e-09,8.7044370e-04
2,2,1.4225900e+01,9.7321482e+00,2.7443062e+03,2.6707995e+04,8,9.5921353e-04,1.7091961e-09,1.7091961e-09,1.7091961e-09,9.5921353e-04,1.7091961e-09,1.7091961e-09,1.7091961e-09,9.5921353e-04
2,3,2.2850900e+01,4.8284000e+01,4.4123648e+03,2.1304662e+05,8,1.2299612e-02,1.8952614e-13,1.8952614e-13,1.8952614e-13,1.2299612e-02,1.8952614e-13,1.8952614e-13,1.8952614e-13,1.2299612e-02
2,4,1.6857000e+02,1.3643516e+00,2.1362969e+02,2.9146601e+02,8,7.9919550e-07,3.0766723e-12,3.0766723e-12,3.0766723e-12,7.9919550e-07,3.0766723e-12,3.0766723e-12,3.0766723e-12,7.9919550e-07
2,5,1.6857000e+02,1.3743800e+00,2.1391028e+02,2.9399402e+02,8,8.0718609e-07,3.1249537e-12,3.1249537e-12,3.1249537e-12,8.0718609e-07,3.1249537e-12,3.1249537e-12,3.1249537e-12,8.0718609e-07
